grade,token_count
1.0,71318
1.0,105993
1.0,73259
1.0,104901
1.0,95367
1.0,92244
1.0,114576
0.15706806282722513,65561
1.0,85596
1.0,76402
1.0,96972
1.0,98770
1.0,91017
1.0,106444
1.0,68378
0.9741219963031423,87920
1.0,80158
0.9996610169491525,100802
1.0,97927
1.0,95279
1.0,65383
1.0,114637
1.0,86109
1.0,78152
0.9995366079703429,78562
1.0,74893
1.0,85348
1.0,85722
1.0,73418
1.0,102147
1.0,106689
1.0,108130
1.0,108658
1.0,101483
1.0,89993
1.0,68643
1.0,85504
1.0,78028
1.0,74242
1.0,89929
0.9994252873563219,107826
1.0,69064
1.0,108498
1.0,103542
0.9993589743589744,95159
1.0,73659
1.0,114121
1.0,93530
1.0,68724
0.9997207483943032,94086
1.0,94687
1.0,79509
1.0,89543
1.0,82883
1.0,93118
1.0,65476
1.0,70618
0.9988649262202043,99162
0.9994505494505495,107881
0.9993658845909955,84854
0.999083409715857,105387
1.0,67879
1.0,97464
1.0,95601
1.0,69721
1.0,82641
1.0,80611
1.0,8700
1.0,9804
1.0,13838
0.9994663820704376,11591
1.0,10721
1.0,14093
1.0,8952
1.0,11096
1.0,12739
1.0,12519
1.0,15019
1.0,12707
1.0,14431
1.0,8599
1.0,9810
1.0,13927
1.0,15041
1.0,11225
1.0,14358
1.0,10632
1.0,15038
0.9995448338643604,12054
1.0,9097
1.0,10296
0.9994638069705094,11478
1.0,8269
1.0,11266
1.0,10540
1.0,13741
1.0,9657
1.0,7842
0.999031007751938,12778
1.0,11546
1.0,15373
1.0,7948
1.0,14473
1.0,8611
1.0,12280
1.0,8997
1.0,8444
1.0,14933
0.9997357992073976,12559
1.0,14929
1.0,13760
1.0,14269
1.0,10723
1.0,15532
1.0,10401
1.0,11121
1.0,12745
1.0,15332
1.0,10817
1.0,13176
1.0,15535
0.9996587030716724,12134
1.0,12953
1.0,10493
0.9997261024376883,11997
1.0,13333
1.0,14001
0.9997107318484235,13913
1.0,15365
1.0,15510
1.0,8252
1.0,12006
1.0,14188
1.0,12018
1.0,10703
1.0,9876
1.0,9525
1.0,7963
1.0,8731
1.0,9993
1.0,14112
1.0,15670
1.0,10329
1.0,13623
1.0,13103
1.0,12556
1.0,11265
1.0,8540
1.0,14172
1.0,12541
1.0,14027
1.0,11516
1.0,14465
1.0,8151
1.0,14846
1.0,12333
1.0,11126
1.0,12746
1.0,10660
0.9993932038834952,13464
1.0,11113
1.0,12605
1.0,13341
